,0
0,-430.837714273599
1,-14624.722620000131
2,-22759.789105999982
3,-9723.66601200006
4,3022.9668440000387
5,6823.722619999899
6,-21159.01172599988
7,13203.099642000045
8,-22676.244166000048
9,1620.488274000003
10,-14458.199225999997
11,6724.488331999979
12,12228.144524000003
13,-12080.82226199971
14,16356.623035999713
15,-12920.68946399982
16,7260.421845999546
17,23006.345714000403
18,-993.0233940001344
19,-17147.09964200016
20,10620.96678600018
21,4635.355475999881
22,-12273.400357999606
23,-939.8882441660389
24,0.0
25,-6707.933675213833
26,-14764.511668000021
27,18192.289048000006
28,12909.078096000012
29,14930.35547599988
30,-2343.2226199998986
31,-1243.488331999979
32,13262.855476000113
33,-10955.089822000009
34,3086.2343459998956
35,12313.332081999979
36,-968.4427656539483
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
